COMPANY_ABBR_EN,STOCK_TYPE,LIST_BOARD,COMPANY_ABBR,A_STOCK_CODE,AREA_NAME,DELIST_DATE,NUM,SEC_NAME_CN,AREA_NAME_DESC,FULL_NAME_IN_ENGLISH,SEC_NAME_FULL,STATE_CODE,B_STOCK_CODE,STATE_CODE_STOCK,LIST_DATE,CSRC_CODE,PRODUCT_STATUS,CSRC_CODE_DESC,COMPANY_CODE,FULL_NAME
JAHB,1,1,嘉澳环保,603822,330000,-,1481,嘉澳环保,浙江省,"Zhejiang Jiaao Enprotech Stock Co., Ltd.",嘉澳环保,2,-,4,20160428,C,   D  F  N          ,制造业,603822,浙江嘉澳环保科技股份有限公司
LILY GROUP,1,1,百合花,603823,330000,-,1482,XD百合花,浙江省,"Lily Group Co.,Ltd.",XD百合花,2,-,4,20161220,C,  RD  F  N          ,制造业,603823,百合花集团股份有限公司
HYLINK,1,1,华扬联众,603825,430000,-,1483,华扬联众,湖南省,"HYLINK DIGITAL SOLUTIONS CO., LTD",华扬联众,2,-,4,20170802,L,   D  F  N          ,租赁和商务服务业,603825,华扬联众数字技术股份有限公司
KUNCAI TECHNOLOGY,1,1,坤彩科技,603826,350000,-,1484,坤彩科技,福建省,"Fujian Kuncai Material Technology Co.,Ltd.",坤彩科技,2,-,4,20170414,C,   D  F  N          ,制造业,603826,福建坤彩材料科技股份有限公司
KELIDA,1,1,ST柯利达,603828,320000,-,1485,ST柯利达,江苏省,"Suzhou Kelida Building & Decoration Co., Ltd.",ST柯利达,7,-,8,20150226,E,   S  F  N          ,建筑业,603828,苏州柯利达装饰股份有限公司
ROCOI,1,1,洛凯股份,603829,320000,-,1486,洛凯股份,江苏省,"Jiangsu Luokai Mechanical & Electrical Co., Ltd .",洛凯股份,2,-,4,20171017,C,   D  F  N          ,制造业,603829,江苏洛凯机电股份有限公司
OPPEIN,1,1,欧派家居,603833,440000,-,1487,欧派家居,广东省,Oppein Home Group Inc.,欧派家居,2,-,4,20170328,C,   D  F  N          ,制造业,603833,欧派家居集团股份有限公司
BONDEX,1,1,海程邦达,603836,370000,-,1488,海程邦达,山东省,"Bondex Supply Chain Management Co., Ltd.",海程邦达,2,-,4,20210526,L,   D  F  N          ,租赁和商务服务业,603836,海程邦达供应链管理股份有限公司
SITONG,1,1,*ST四通,603838,440000,-,1489,*ST四通,广东省,"GUANGDNG SITONG GROUP CO.,LTD",*ST四通,7,-,8,20150701,C,   S  F  N          ,制造业,603838,广东四通集团股份有限公司
ANZHENG FASHION,1,1,安正时尚,603839,330000,-,1490,安正时尚,浙江省,"Anzheng Fashion Group Co.,Ltd",安正时尚,2,-,4,20170214,C,   D  F  N          ,制造业,603839,安正时尚集团股份有限公司
ZHENGPING ROAD & BRIDGE CONSTRUCTION,1,1,*ST正平,603843,630000,-,1491,*ST正平,青海省,"Zhengping Road & Bridge Construction Co., Ltd.",*ST正平,7,-,8,20160905,E,   S  F  N          ,建筑业,603843,正平路桥建设股份有限公司
HOTATA,1,1,好太太,603848,440000,-,1492,好太太,广东省,"Guangdong Hotata Technology Group Co.,Ltd",好太太,2,-,4,20171201,C,   D  F  N          ,制造业,603848,广东好太太科技集团股份有限公司
WAROM INCORPORATED,1,1,华荣股份,603855,310000,-,1493,华荣股份,上海市,Warom Technology Incorporated Company,华荣股份,2,-,4,20170524,C,   D  F  N          ,制造业,603855,华荣科技股份有限公司
DHPI,1,1,东宏股份,603856,370000,-,1494,东宏股份,山东省,"Shandong Donghong Pipe Industry Co.,Ltd.",东宏股份,2,-,4,20171106,C,   D  F  N          ,制造业,603856,山东东宏管业股份有限公司
BUCHANG PHARMA,1,1,步长制药,603858,370000,-,1495,步长制药,山东省,"Shandong Buchang Pharmaceuticals Co., Ltd",步长制药,2,-,4,20161118,C,   D  F  N          ,制造业,603858,山东步长制药股份有限公司
NANCAL,1,1,能科科技,603859,110000,-,1496,能科科技,北京市,"Nancal Technology Co.,Ltd",能科科技,2,-,4,20161021,I,   D  F  N          ,信息传输、软件和信息技术服务业,603859,能科科技股份有限公司
ROADMAINT,1,1,中公高科,603860,110000,-,1497,中公高科,北京市,"Roadmaint Co.,Ltd.",中公高科,2,-,4,20170802,M,   D  F  N          ,科学研究和技术服务业,603860,中公高科养护科技股份有限公司
BYE,1,1,白云电器,603861,440000,-,1498,白云电器,广东省,"Guangzhou Baiyun Electric Equipment Co., Ltd.",白云电器,2,-,4,20160322,C,   D  F  N          ,制造业,603861,广州白云电器设备股份有限公司
SONGYANG,1,1,松炀资源,603863,440000,-,1499,松炀资源,广东省,"Guangdong Songyang Recycle Resources Co.,Ltd",松炀资源,2,-,4,20190621,C,   D  F  N          ,制造业,603863,广东松炀再生资源股份有限公司
TOLY BREAD,1,1,桃李面包,603866,210000,-,1500,桃李面包,辽宁省,"Toly Bread Co.,Ltd.",桃李面包,2,-,4,20151222,C,   D  F  N          ,制造业,603866,桃李面包股份有限公司
XINHUA CHEMICAL,1,1,新化股份,603867,330000,-,1501,新化股份,浙江省,"ZHEJIANG XINHUA CHEMICAL CO., LTD.",新化股份,2,-,4,20190627,C,   D  F  N          ,制造业,603867,浙江新化化工股份有限公司
FLYCO,1,1,XD飞科电,603868,310000,-,1502,飞科电器,上海市,"Shanghai Flyco Electrical Appliance Co., Ltd",飞科电器,2,-,4,20160418,C,   D  F  N          ,制造业,603868,上海飞科电器股份有限公司
ENC,1,1,ST智知,603869,450000,-,1503,ST智知,广西壮族自治区,"ENC Digital Technology Co., Ltd",ST智知,7,-,8,20150326,I,   S  F  N          ,信息传输、软件和信息技术服务业,603869,新智认知数字科技股份有限公司
JIAYOU INTERNATIONAL,1,1,嘉友国际,603871,110000,-,1504,嘉友国际,北京市,"Jiayou International Logistics Co.,Ltd",嘉友国际,2,-,4,20180206,G,   D  F  N          ,交通运输、仓储和邮政业,603871,嘉友国际物流股份有限公司
DING SHENG NEW MATERIALS,1,1,鼎胜新材,603876,320000,-,1505,鼎胜新材,江苏省,"JIANGSU DINGSHENG NEW MATERIALS JOINT-STOCK CO.,LTD",鼎胜新材,2,-,4,20180418,C,   D  F  N          ,制造业,603876,江苏鼎胜新能源材料股份有限公司
PEACEBIRD,1,1,太平鸟,603877,330000,-,1506,太平鸟,浙江省,"Ningbo Peacebird Fashion Co.,Ltd.",太平鸟,2,-,4,20170109,C,   D  F  N          ,制造业,603877,宁波太平鸟时尚服饰股份有限公司
WUJIN STAINLESS,1,1,武进不锈,603878,320000,-,1507,武进不锈,江苏省,"Jiangsu Wujin Stainless Steel Pipe Group Co., Ltd.",武进不锈,2,-,4,20161219,C,   D  F  N          ,制造业,603878,江苏武进不锈股份有限公司
YONGYUE,1,1,永悦科技,603879,320000,-,1508,永悦科技,江苏省,"Yongyue Science&Technology Co.,Ltd",永悦科技,2,-,4,20170614,C,   D  F  N          ,制造业,603879,永悦科技股份有限公司
NANFANG MEDICAL,1,1,南卫股份,603880,320000,-,1509,南卫股份,江苏省,"Jiangsu Nanfang Medical Co., Ltd.",南卫股份,2,-,4,20170807,C,   D  F  N          ,制造业,603880,江苏南方卫材医药股份有限公司
ATHUB,1,1,数据港,603881,310000,-,1510,数据港,上海市,"Shanghai AtHub Co., Ltd.",数据港,2,-,4,20170208,I,   D  F  N          ,信息传输、软件和信息技术服务业,603881,上海数据港股份有限公司
KINGMED DIAGNOSTICS,1,1,金域医学,603882,440000,-,1511,金域医学,广东省,"GUANGZHOU KINGMED DIAGNOSTICS GROUP CO., LTD.",金域医学,2,-,4,20170908,Q,   D  F  N          ,卫生和社会工作,603882,广州金域医学检验集团股份有限公司
LBX,1,1,老百姓,603883,430000,-,1512,老百姓,湖南省,Lbx Pharmacy Chain Joint Stock Company,老百姓,2,-,4,20150423,F,   D  F  N          ,批发和零售业,603883,老百姓大药房连锁股份有限公司
JUNEYAO AIRLINES,1,1,吉祥航空,603885,310000,-,1513,吉祥航空,上海市,"Juneyao Airlines Co., Ltd",吉祥航空,2,-,4,20150527,G,   D  F  N          ,交通运输、仓储和邮政业,603885,上海吉祥航空股份有限公司
GANSO,1,1,元祖股份,603886,310000,-,1514,元祖股份,上海市,"Ganso Co., Ltd.",元祖股份,2,-,4,20161228,C,   D  F  N          ,制造业,603886,上海元祖梦果子股份有限公司
SHCD,1,1,城地香江,603887,310000,-,1515,城地香江,上海市,"SHANGHAI CDXJ DIGITAL TECHNOLOGY CO.,LTD.",城地香江,2,-,4,20161010,I,   D  F  N          ,信息传输、软件和信息技术服务业,603887,上海城地香江数据科技股份有限公司
XHW,1,1,新华网,603888,110000,-,1516,新华网,北京市,"Xinhuanet Co., Ltd",新华网,2,-,4,20161028,I,   D  F  N          ,信息传输、软件和信息技术服务业,603888,新华网股份有限公司
XINAO TEXTILE,1,1,新澳股份,603889,330000,-,1517,新澳股份,浙江省,Zhejiang Xinao Textiles Inc.,新澳股份,2,-,4,20141231,C,   D  F  N          ,制造业,603889,浙江新澳纺织股份有限公司
CHUNQIU ET.,1,1,春秋电子,603890,320000,-,1518,春秋电子,江苏省,"Suzhou Chunqiu Electronic Technology Co., LTD",春秋电子,2,-,4,20171212,C,   D  F  N          ,制造业,603890,苏州春秋电子科技股份有限公司
ROCKCHIP,1,1,瑞芯微,603893,350000,-,1519,瑞芯微,福建省,"Rockchip Electronics Co., Ltd.",瑞芯微,2,-,4,20200207,C,   D  F  N          ,制造业,603893,瑞芯微电子股份有限公司
TIANYONG,1,1,天永智能,603895,310000,-,1520,天永智能,上海市,"Shanghai Tianyong Engineering Co.,Ltd.",天永智能,2,-,4,20180122,C,   D  F  N          ,制造业,603895,上海天永智能装备股份有限公司
SHOUXIANGU,1,1,XD寿仙谷,603896,330000,-,1521,寿仙谷,浙江省,"Zhejiang Shouxiangu Pharmaceutical Co., Ltd.",寿仙谷,2,-,4,20170510,C,   D  F  N          ,制造业,603896,浙江寿仙谷医药股份有限公司
GRANDWALL,1,1,长城科技,603897,330000,-,1522,长城科技,浙江省,"Zhejiang Grandwall Electric Science&Technology Co.,Ltd.",长城科技,2,-,4,20180410,C,   D  F  N          ,制造业,603897,浙江长城电工科技股份有限公司
HOLIKE,1,1,好莱客,603898,440000,-,1523,好莱客,广东省,"GUANGZHOU HOLIKE CREATIVE HOME CO.,LTD.",好莱客,2,-,4,20150217,C,   D  F  N          ,制造业,603898,广州好莱客创意家居股份有限公司
M&G,1,1,晨光股份,603899,310000,-,1524,晨光股份,上海市,Shanghai M&G Stationery Inc.,晨光股份,2,-,4,20150127,C,   D  F  N          ,制造业,603899,上海晨光文具股份有限公司
LEYSEN,1,1,莱绅通灵,603900,320000,-,1525,莱绅通灵,江苏省,Leysen Jewellery Inc.,莱绅通灵,2,-,4,20161123,F,   D  F  N          ,批发和零售业,603900,莱绅通灵珠宝股份有限公司
YOUNGSUN INTELLIGENT,1,1,永创智能,603901,330000,-,1526,永创智能,浙江省,"Hangzhou Youngsun Intelligent Equipment Co.,Ltd.",永创智能,2,-,4,20150529,C,   D  F  N          ,制造业,603901,杭州永创智能设备股份有限公司
CSD WATER SERVICE,1,1,中持股份,603903,110000,-,1527,中持股份,北京市,"CSD Water Service Co., Ltd.",中持股份,2,-,4,20170314,N,   D  F  N          ,水利、环境和公共设施管理业,603903,中持水务股份有限公司
LOPAL,1,1,龙蟠科技,603906,320000,-,1528,龙蟠科技,江苏省,"JIANGSU LOPAL TECH. Co., Ltd.",龙蟠科技,2,-,4,20170410,C,   D  F  N          ,制造业,603906,江苏龙蟠科技股份有限公司
OUTDOOR MOBI GARDEN,1,1,XD牧高笛,603908,330000,-,1529,牧高笛,浙江省,"Comefly Outdoor Co.,Ltd",牧高笛,2,-,4,20170307,C,   D  F  N          ,制造业,603908,牧高笛户外用品股份有限公司
C&D HOLSIN,1,1,建发合诚,603909,350000,-,1530,建发合诚,福建省,"C&D HOLSIN ENGINEERING CONSULTING CO., LTD.",建发合诚,2,-,4,20160628,M,   D  F  N          ,科学研究和技术服务业,603909,建发合诚工程咨询股份有限公司
